,0
0,"I was talking to a coworker an amidst the conversation I was thinking to myself ""am I real?"" I don't even feel real. It's hard to go through this life not even feeling real and feeling I'm a mixture of everyone I meet while also melting into the universe. I'm really hurt. Everyday is a struggle."
1,"Hello, I have recently started questioning if I have OSDD. I joined this site hoping for support/advice/related experiences. Before I continue I'd like to say I cannot access therapy at the moment (I hope to go in the future,) which is why I'm here. I have extremely few memories from my childhood, and those memories feel like they belong to someone else, it is like watching someone else live their life in vr. I know I have gone through traumas, but I can't remember much from before 2nd grade. In second grade I remember ""waking up"" (it was more like coming to) in class, I was confused, I thought: ""where am I?"" ""Why don't I remember anything?"" ""I have to pretend to be 'P'."" It was odd, like I was an older person in a 2nd graders body, but ultimately as soon as those thoughts came I told myself ""I can't think about this right now, I need to focus."" Then the incident became a fuzzy memory as I got older. As I entered my pre-teens I started have gaps in my memory but it always happened at night so I thought it happened because I was tired. I also started to disassociate heavily, 98% of the time I was disassociating/daydreaming. Even for now it is a large struggle for me though I have gotten better at identifying my triggers. I spent the last 15-16 years of my life looking at myself through other people's eyes, and I had no idea who I was, it always felt like I was trapped in my own body. Everytike I look in the mirror it is never someone I recognize and it constantly changes. I talk to myself very often in my head, but recently I realized it seems like I am talking to other people. I also talk to myself outloud, have conflicting opinions/emotions/and aspects of my identity. I never questioned it because I thought I had many ""personalities"" within me and it was normal for everyone with my experiences. However, after stumbling up DID/OSDD half a year ago I have been realizing I have symptoms in common. (I.e my ""personalities"" are very similar, they change in different settings.) Anyways, what prompted me to seriously consider the possibility of having OSDD is during a recent disassociative episode I remember acknowledging myself as a different person. Idk if I am just faking it or it should be something to consider further and try to figure out with a therapist in the future.

Summary:
I don't remember my childhood and have memory gaps where I don't remember doing things. I disassociate a LOT. I don't feel like I belong in my body, I heard other people talking in my head, I recently I believe another person ""fronted."" I cannot access therapy/professional opinion at the moment and would like support/advice from other going through the same thing and/or if you think I may have OSSD."
2,"Hi you lovelies reading. <3 I hope dearly this finds you comfy and cosy, and that you are all taking good care. <3 Please feel no pressure or need to reply or read. ♡ I think I simply need to vent a bit of how I feel for a moment, and am very thankful for this space existing. ♡♡ Thank you so, so much. ♡♡♡ So lovely, you are x *sends a cosy, soothing stream of warmth with sparkling stars <3*  ❤  

I feel as though my mind is fully gone, and that I have perished too. ): I am still very much physically alive and safe, but any light and lucidity have left me, as well as my personhood ~ I feel as though all that has made me 'me' is gone, which terrifies me. I think I could handle this change if it were only I affected, or I had no loved ones, but seeing how greatly it inhibits me from being any bit of use or good to those I love and adore haunts me, and there is only so much I can bear. ): I have had episodes of sitting for hours in paralysis, coming to, only to discover that I can become so lost and so vulnerable. Much of the time, I liken myself to little more than a zombie, with my inability to think, act, be, communicate, or function in any capacity as a person. I feel so horrified at the lack of dignity that one sentient being could possibly feel, and how immensely much can be lost. I have let everyone down in my life and it makes my heart weep. I used to be vibrant, beautiful, kind and caring and looking back, I realise how precious it was that I could come across other gorgeous dearies and be loved for my priorly whole self, and whole-heartedly love in tandem. However, those days are heartbreakingly gone now, and I am nothing more than a mindless, demonic ghost. ): To continue to allow myself to deteriorate in my loved ones eyes grieves me so much, and deep down in my heart, I know that it would be best that I let them go, so nobody need be saddled with me anymore. I wish so much I could be a huggy ghost and just give everyone a big, big hug, I would weep and hug with every last bit of my strength, so, so happily! Or even better, send all in my heart, every dearie precious, every last bit of my warmth and my strength. <3 This idea has also held me for a while! The idea of focusing my warmth and my strength outward, this sustained me and kept me going for months. <3 Yet, no longer can I even do this, and this has signaled to me that my time with them may best be up. ♡ My mind has flown away, and my last act of kindness to those I love would be to fly away from them too {'': *weeps with my whole heart* ❤ 

Thank you so, so, so much for reading, and for everything. <3 Please know that your needs, wishes, thoughts, and feelings are so, so immensely important, and are worth every safeguard and care. <3 You all deserve the absolute best, the loveliest of sunsets and skies, and so dearly I wish you warm and sweet days ahead filled with all dear and relieving. <3 *sends streams and streams more soothing, supportive, nourishing, nurturing, and sparkling stars, embraces, cuddles, cutie hearts, and everything to one's cosy delight <3* ❤❤❤"
3,"Hi,

I'm new here and had multiple dissociative episodes in my life. Mostly when I'm confronted to specific triggers / conflicts / perceived threats. I mostly just zone out and quit talking, walk away (like literally leave work in the middle of the day and make up sketchy excuses afterwards), freeze...

I had therapy for a couple of things, but honestly few tips / help about the dissociative symptoms.

Anyways, that's my story, but I was wondering what was the actual difference between dissociation, depersonalisation and derealization.

Maybe it would help me make sense out of my symptoms ? 

Thanks in advance (:"
4,"Sort of the opposite of feeling as if I am not real, which I have felt for the majority of my life. I like to pretend sometimes that I am the only real thing in this world and everybody around me moves according to my design. It brings me comfort and a sense of control. I don't feel like this all the time. I'm starting to repeat the phrase ""nothing is possible"" so I can erase anything in my reality that gives me anxiety. If nothing is possible then nothing is real but me."
5,"I've had a little experience with the strange state of mind and mood called dissociation (or the other names for it). It's a hard thing to describe. The mind sort of just wanders off some place and this makes the current experience strange. I may have done this lots of times but can't recall much of it except for a few occasions. Sometimes the normal sense of what is real gets a little distorted, like things appear slightly smaller than they really are, or more distant. If it's mild it isn't that disturbing. Stronger senses of dissociation can be unsettling. I've experienced that 'surreal' feeling a few times when something bad or quite unusual happened.

How would you describe your experiences with this sort of thing? Is it frequent or just occasional? Does it last long or quickly pass? Do you try to get back to 'reality' when it occurs, or just go with the strange state of mind for a while?"
6,"trigger warning bc i also talk about eating disorders

I don't feel like I'm totally in my body. I feel like I'm slightly in my body but not all the way.

i feel like a childs coloring book page. 

the outline. thats me. 

the child came and colored me in, gave me life and soul, but colored out of the lines. thats how i feel.

like im a venn diagram. 

the one circle is me. my body. the other overlapping circle is where i feel. 

sometimes i look around my apartment and it doesnt quite feel real to me, aswell. like its all made up in my mind and that this is all in my head. 

i know it isnt, but its how i feel sometimes.


this happens most when im under a lot of stress. like this week ive been eating badly... and tonight i binged. the stress of binging... of breaking my streak of no binging..... 

im just upset with myself. i wasnt sure whether to post this in eating disorders or here because it has both :/"
7,"Does anyone else have one (or more) alter(s) who has a disability that no other alter has? ...or they have it to a more severe degree than others when they are up front in the body? 

Or is there memory loss between switching between this alter and others so others within the system don't realise that one exists or the disabled alter doesn't know there are 'others' who can do things they can't? 

Just curious how common it is after reading a genuine case in the papers about a blind woman who recovered sight in 8 out of her 10 alters.
and another who had a deaf-mute alter who was triggered by fear of having to undergo an operation."
8,The Universe feels fundamentally flawed. I can't explain it at all. I don't even think I know what I'm talking about? It's spiritual I guess? I just don't get it? But WHY does it have to be the entire UNIVERSE?! I've never even left Earth for freak sake! Maybe spirits can pick up on things the body can't??? :confused:  :confused:  :confused:
9,"ive only noticed now that sometimes i feel like im observing myself. that im doing things manually. i zone out of things and lose focus easily, and this also means that my memory is quite poor too. i cant drive as i cant focus either. i cant live without a task list and planning, otherwise id be an unorganised mess. how can i cure this? or is it just tiredness?"
10,"I've been struggling with not feeling like myself today. I've been ""zoning out"" a lot (especially while driving), not able to speak, not being able to remember parts of my day, confusion, not feeling real. I immediately think it's my anxiety, but this feels different than my normal anxiety symptoms. I've always felt like there was something more going on with me, but never could understand what was going on or how to explain it or talk to others about it.

My husband thinks I need to see a mental health professional, but I keep putting it off because I'm terrified.

Help me understand?"
11,"I have 'many versions of self' but have also come to realise that at least one is a completely seperate alter who can function alongside whatever version of 'me' is up front. ... so that means there's at least 2.... the 'me' and the one that is not any child or adult version of 'me'.  

They act sometimes as a mother figure/adviser and stay in the background helping via passive influence when I'm trying to deal with real life stuff and sometimes as a child/teen to match the age of any 'little' that comes out so they have someone to play/interact with on their level. They like to play 'twin' to my 16yr old and they can actually co-pilot the body together so they can interact as conjoined twins would share control of the body.

I mean technically  'you' could only be one alter at once right??? to be another you'd have to first 'switch' to them?  ...so if there's another 'up front' with you then they have to be completely seperate from 'the self' otherwise it wouldn't be possible???"
12,"hope a moderator see this soon. can escaping on the internet such as listening to music , looking at girls in bikinis and online window shopping be a form of maladaptive day dreaming?"
13,"My ex girlfriend went through having an abortion 7 months ago.

Since then I have tried asking her to go to therapy together to unpack it and talk about it. Her reasonings were due to covid and our lack of jobs, and her fear of her disapproving parents.

She shuts down the conversation pretty quickly and then moves on. She normally would never do this.

Further she hates talking about it altogether and thus I had stopped asking.

She had been binge watching tv shows and movies and focusing on her health which is great yes, but its as if she was not at all thinking about it and that is understandable but I just feel like sweeping things under a rug and disassociating are more damaging.

Out of nowhere 7 months post abortion, she told me she associates me to the abortion and thus she couldn't be with me any longer. Again disassociating from her trauma, which I understand despite it being hurtful since I was supportive of her. But again, it feels like she was pushing the very thought and ANYTHING, counting me, under a rug to not think about again.

Finally its been 6 months post breakup and I ran into her sister at a grocery store. After catching up, I asked her about her sister. And she said ""Funny you ask, we talked the other day about you. I asked her what's he been up to. And unfortunately she said that she hasn't thought about you, searched you, or any of that.""

This killed to hear because we had a long relationship and I thought I was special to her in some way despite breaking up.

I felt like she was trying to disassociate me from her mind and life, sweeping me under that big rug of hers and not thinking about me.

Does disassociation ever catch up to someone and then they need to handle all those things they have pushed down?

Would she ever stop disassociating me do you think? 

Can disassociation last a lifetime?

I would love to be friends just like we were before dating... but yah she doesnt want me around due to the connection, and seemingly she doesnt want me in her head either."
14,"Hi everyone!

I've had MD since I think 3-4 years old, when I met my best friend and we had a very toxic relationship. I did not have any other friends and spent time only with this girl. My parents were also very controlling and I felt trapped all the time.
I used MD as a coping mechanism. There, in the world that I created, I was the rebel with all the superpowers in the world, a superhero, an orphan with cool friends and amazing boyfriend/husband. My trigger was music + moving in some way, mostly jumping but I could also swing on a swing. Later I realized I am also able to daydream in any moving vehicle (car, train, plane) and also while walking - if I have headphones with music in, I am always at risk.

I tried to quit many times, but it's like an addiction. I also have diagnosed OCD, which makes me self harm, and also have intrusive thoughts, and anxiety. I take medication. However, MD doesn't go away.
Recently I made another attempt to stop. It's been about a week. However, I am facing the problem I face every time I try to quit -
See, when I want to daydream I get this light feeling in my chest, as though there is a bulk of light that is trying to rip my chest and get outside, it is an uncomfortable feeling and so far this bulk only goes away if I daydream. I do not know what will be as effective with coping with this light. I think it might be just all my emotions turned into a physical feeling, I often experience that my emotional pain turns into physical pain.
Did anybody have the same experience?
I honestly don't know what to do."
15,"Hi everyone. I joined last night out of desperation really. I was diagnosed with C-PTSD and DDNOS a few years ago now. My dissociative episodes were largely when I got triggered or felt extra anxious and would generally last less than a couple of minutes. My therapist said she usually realised when I was absent but not always. I had sessions where I had no memory at all of what we’d discussed. I’ve also experienced what I just thought were horrendous short term memory issues for years... as long as I can remember really. They’re so much a part of me that all my friends and family take the mickey out of me for being so forgetful. It could be whole conversations I’ve had with people but I’ll swear blind I have no idea what they’re talking about, or it could be really important letters I’ve received but said I haven’t received and then months later I’ll find these letters stuffed in bags/boxes or even under my car seat and then I start panicking that everyone will think I’m a liar and that I’ll get a reputation for being untrustworthy and unreliable. I’ve messed up on so many really important things this way and it makes me question my sanity. I feel so stupid.

Derealisation and depersonalisation are so much a part of my life I no longer question it. It’s just like it’s totally normal to me. Sometimes it feels like I’m floating above whatever setting I’m in and looking down on myself and whatever’s going on. Other times I might feel like everything is in slow motion and I get frustrated as I want to press fast forward. Sometimes I can feel like I’m watching a film in one of those old fashioned projectors where everything is jumpy, sometimes it’s silent, sometimes there are voices and sometimes I can see the lips moving but the sound coming out of them doesn’t fit the scene, e.g. I could be having a flashback to something not very pleasant but all I can hear is one of these people talking about making cakes. Again, it makes me feel like a total nutter a lot of the time!

I’ve not really spoken about any of this stuff despite years of therapy with many different people... one of which I saw for 10 years! I always just thought these things were just in my head, that if I said any of it out loud I would be locked up or dismissed as a liar.

My therapy sessions have become deeper and more intense recently and I told her something this week that I have never told anyone else ever and had absolutely no intention of doing so! The moment I told her I automatically regretted it and wished I hadn’t, not because of her reaction because she was honestly brilliant about it all and she even said what I was telling her made perfect sense, but just because inside I felt so guilty and like they would know and somehow get me back for telling. It felt like a massive betrayal and it’s really scared me. It’s almost like I’m waiting for that bolt of lightening to strike me and wipe me out! I know that sounds extreme and dramatic but that’s the only metaphor I could come up with for the severity of my fear at what I’ve opened up here.

I always felt different, even as a kid, never felt like I fit anywhere, I saw and felt things others seemed oblivious to and my behaviours were just kind of weird really. I’ve always talked to myself... had whole conversations not just like ‘normal’ talking to yourself. I role play every single situation in my head... my head is never quiet and peaceful, it always feels busy and loud. I edit myself the whole time throughout every single interaction I have with people. I am very measured in my approach and careful not to bring about any kind of confrontation or aggression. If I’m in a situation that looks to be going that way I retreat inside myself and it’s like a braver version of me comes out and deals with it. I am aware of one side of me who has been with me throughout my adult life and I call her by her name and I know she is the part of me that deals with things if I get triggered. Other than her I have no idea what this is or how many other parts there may or may not be but with her I feel safe. I trust her because she’s sensible and grown up and knows what to do and how to handle things. I even debated whether of not to change my name by deed poll years ago wondering if I was called ___ if it would help me to respond to things the way she does.

This is where this weird post is about to get a bit weirder! I have 2 friends with DID and although we’ve discussed my Dissociation and I have great relationships with many of their alters as well, I never once listened to things they said and thought “I’m like that too”. I don’t feel that way. I don’t appear to have any different voices/accents/languages/genders.I don’t think my demeanour particularly changed much as surely someone would have told me over the years? I’m not really aware of much at all, I only know I’ve been absent at all once I’ve returned and I never have any idea where I’ve been of what has gone on while I haven’t been present.

My therapist who has worked with DID a lot said she can’t obviously diagnose me which I’m fully aware of, but she said she believes from everything that is now coming out she believes I am towards the higher end of the scale. Just hearing that has scared me so much as it seems more real now. I guess when covid dies down a bit I’ll have to have a chat with my GP and see if I can be referred back to my psychiatrist. To be honest CMHRS here are pretty poor in non covid times... this could take a while and in the meantime I’m just stuck with this, not really knowing for sure what ‘this’ really is.

I’m too scared to mention all this to my friends with DID. It was never a train I asked to jump on and I don’t want our friendship to become just about this whatever it is. Plus, in all honesty, I don’t see myself in the way I see them. I just know I have absolutely no idea who I am and I’m really scared about finding out, and yet I feel I need to know. Does any of this make sense to anyone? Sorry for going on."
16,what do you think.....would they have some sort of connection
