,0
0,"Hi guys! Do anyone stay on high alert so much, u end up getting headaches on/off throughout the day?"
1,"29 year old male.  I have never been diagnosed with CTPSD but I have read about it and can relate to much of it. I didn't want to write loads about my background, but anxiety, OCD, social anxiety, insomnia, and a fragmented identity have been central to my life.

Any ways, has anyone some friendships which 'don't feel right' and which only sustained themselves because you never had the confidence to move away from the friendship? This is one of my biggest roadblocks that I'm struggling to come to terms with.

2 examples.

Guy 1: Let's call him Andrew. Andrew and I were best friends in primary school, it became apparent to me throughout high school and early college years that Andrew and I were quite different. Different interests, different taste in things, different demeanour, different in many ways. In truth, I never felt excited about hanging out with him and I still don't. However Andrew also had a bit of a capricious personality for years, particularly when drunk, which made me scared of ever ignoring him or drifting away from the friendship incase he reacted badly. Co-dependency emerged, whereby I pretended to like him to avoid conflict. Andrew's capricious personality went away, he became more at ease with himself, and instead my co-dependency transformed into simply not wanting to hurt Andrew's feelings. In doing so I have hurt myself by not being happy. Andrew has asked me to be groomsman at his wedding next year, which doesn't feel right to me as I am not excited by our friendship at all, but it is what it is.

Group 1: This is a group of persons, not just one guy. They were my friends for a few years from the age of 22-26, partly because of confidence issues but also I guess I just didn't know many other people at the time. We did have some stuff in common, but music is very important to me and they were not on the same wavelenght as me when it came to music. At all. For example I never got the chance to go to music venues to see artists I liked, or go to bars and nightclubs I enjoy, because these guys were not into it and were in fact very narrow minded. And in general, I just didn't feel I clicked with them. For example there were groups or categories of people I would like and feel at home with, who they never felt at home with. It never felt right to me, but it just happened that it was the group of people I lived with at the time and was around with at the time. I guess the inability to drift away from this group was partly because of confidence issues, but maybe also just the reality I didn't have any other friends at the time.

Thankfully at the age of 26 I moved to another city which had the exact music scene I wanted, and met loads of new people who were defo more 'up my street'. From 26 and half, to 28 I had an absolute blast and made up for those lost years. Corona obviously came then, but at that point I actually felt burnt out from all the socializing and partying.

However even though I had a great time the past few years, the past was hanging over. Why was I still friends with Andrew even though I felt no connection? Furthermore, despite the present being great, I still had so many regrets for the years I wasted with 'group 1'. People would ask me about different experiences about clubbing and music, and it felt like an empty hole was missing. Also I'm still in a Whatsapp group with Group 1, which means it's hard to escape from them.

My friends over the years should have been people like me - into music, politics, small interest in sport, and generally chilled. I had some of them over the years, but the majority were not and I never really clicked with them. Thankfully my friends in my new city are on the same wavelenght and I was at least able to enjoy my mid-late 20's.

Summary - Some of my closest friendships to me don't feel 'right' at all and only came about due to lack of confidence and co-dependency. I have no way of escaping this, as is the case with the wedding next year. It doesn't feel right at all, my identity with these people doesn't feel right at all, and I don't know how to deal with it. It actually causes me severe anguish and frustration, I sometimes feel like physically hurting these people who are supposed to be my friends. Part of me just feels like being absolutely direct with them and ending these friendships, but that's just gonna result in hurt and pain - particularly for Andrew when I have his wedding to go to next year."
2,"Hi, does anyone here have any physical effects from cptsd, I have many..I learned about them on the website ptsduk... I'm looking for anyone that knows about or has experience of this...I'm very physically weak, physically ageing quite fast ..  peace...."
3,"I've been going through a shit ton of trauma lately. I posted recently and I'm trying to figure out if I have psychotic disorder or not. I was in grad school and I had to drop out. I noticed that my language is all messed up now. I remembered trauma from a very young age. My teachers said I learned to write weird. I always had trouble with my left and my right, with distinguishing v's and z's...... but other than I've always been really smart and have a great vocabulary. Now I get letters and words messed up all the time. My mind moves really fast too. I think that has to do with it as well. Any thoughts?"
4,Hey y'all. I have c-PTSD and a never ending amount of trauma. I was recently diagnosed with Graves Disease as well which is not under control in the slightest. I've been experiencing some audio/visual hallucinations I think.... they're more like distortions. I can recognize that they're not real. I'm just really scared it may be something else. Part of my story is a very deep and significant history of traumatization in Mental Health settings so I have a lot of internalized stigma. Has anyone else experienced hallucinations with this disorder?
5,"I started a new job as a lab technician on Tuesday. On Friday morning I walked out of the lab because I had a sudden panic attack. I drove home and emailed my boss to say that I quit.

I feel short of breath and overwhelmed constantly. Financially and professionally this is taking a toll.

If I weren't living with my mother I would be completely screwed. 

I'm completely incapacitated by my trauma right now. The people in my life don't understand and it makes me feel so alone.

Can anyone relate?"
6,"I have Complex PTSD, so I've learned to wait till the very depressed times or those of high anxiety (or aggression) to pass. Sometimes the emotions are relived (flashbacks but emotions only), so they have nothing to do with the present moment, while at other times the emotions are from present circumstances.

Lately, I've been feeling, I guess a meta depression, where I'm depressed from reliving depressed emotions, and just the overall process of waiting for these times to just pass. I'm also feeling very isolated as most people simply do not relate or understand the added layers of complexity.

It feels like another level to what is a rather hellish situation, and I won't lie, I think about my own death a lot these days. Nothing definitive in regards to suicide, I make sure anything I could use is locked away, and generally ensure there's enough impediments in place to discourage impulsivity.

But the thoughts are distressing, and at times, tempting. What they aren't is comforting. I'm reminded constantly of how isolated I feel.

People in my life who mean well feel distant and self-absorbed. Every nuance in behavior of others is analyzed and found calloused, thoughtless, and motives questioned.

I know it's the PTSD that fuels all of this, but it's so difficult not to be swayed by such convincing inner monologue when it's just you, alone with these thoughts.

Every misunderstanding from friends, family, or a significant other pierces so directly to the heart, even though I know that's not their intent. Every attempt to explain how I feel and why is reflected back distorted as those closest to me try to understand. Their frustration, and at times, anger just hurts me more. Thoughts ever so cruelly snatch at these experiences as though to prove, ' See, they don't know you, and they never will. They will be at your funeral mourning a person who was never you.'

In either case, thanks for providing a forum where I can voice my thoughts."
7,"I've not been around here for a while. Lots has changed for good. But I'm suddenly just. so. sad. And helpless feeling.

It's the worst. Some of it is because I'm not externalising negative feelings onto anyone else anymore so am having to sit with them.

Some of it is because /big changes in my life/

Trying hard not to believe that some of it is a punishment for trying to do things which make me happy and fulfilled. But that way of thinking sure feels attractive.

This isn't a question. Just a vent."
8,"I am feeling ashamed and humiliated by the flashbacks and nightmares I am having at the moment. I physically feel the implements that were put into my body and other physical pain. I don’t know how to deal with this. I feel like a freak. I just need to know if anyone else has experienced this and how they handle it. I am also wetting myself a lot whenever I have a flashback or a nightmare. I’m sorry, I don’t mean to trigger anyone, but I really feel lost with this. I’m sorry."
9,"I wanted a centralized thread for everyone to discuss the process as they get down to business.

Feel free to share stories of treatments and the process, results, etc., advice for specific situations, rankings of various activities and treatments.

Good luck on your journeys!"
